"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.926504964904735,0.955,0.798,0,"0","LPL"
0,0.880221546246252,0.968,0.811,0,"0","MAFF"
0,0.292357415756458,0.985,0.83,0,"0","IER2"
0,0.37556045254351,0.728,0.573,0,"0","TAGAP"
0,0.109794837291866,0.957,0.802,0,"0","VMP1"
0,0.854472458085503,0.972,0.818,0,"0","NR4A1"
0,1.18084731153543,0.884,0.73,0,"0","TNFAIP8L3"
0,0.473381067490338,0.858,0.704,0,"0","MYO1E"
0,1.04848589403089,0.723,0.57,0,"0","CSF1"
0,0.805004314144606,0.78,0.627,0,"0","PIF1"
0,0.343550302330047,0.573,0.421,0,"0","PLPP1"
0,0.144270761822685,0.87,0.72,0,"0","METRNL"
0,0.75077794733012,0.989,0.839,0,"0","NR4A2"
0,0.226348550758237,0.623,0.473,0,"0","TMEM255B"
0,0.842925340579078,0.49,0.34,0,"0","DACT1"
0,0.792127590025356,0.979,0.83,0,"0","GLDN"
0,0.577222514175835,0.977,0.829,0,"0","ID2"
0,0.26724736810069,0.78,0.632,0,"0","RNASE2"
0,1.08577837872536,0.64,0.493,0,"0","ZCCHC12"
0,0.917951843994333,0.456,0.309,0,"0","SHANK2"
0,0.492541475056006,0.588,0.441,0,"0","MYOZ2"
0,0.328718284761854,0.956,0.809,0,"0","DBI"
0,1.3154740655114,0.953,0.808,0,"0","RCAN1"
0,0.79737938870073,0.554,0.41,0,"0","DMP1"
0,0.527639246919086,0.925,0.781,0,"0","EIF4E"
0,0.134663741501083,0.978,0.834,0,"0","BASP1"
0,1.04206644910314,0.981,0.838,0,"0","NR4A3"
0,0.702479338769097,0.981,0.838,0,"0","CPM"
0,0.255262543803813,0.886,0.743,0,"0","SLC5A3"
0,0.182132574550153,0.811,0.668,0,"0","STX4"
0,0.268203863910944,0.854,0.712,0,"0","SLC16A1"
0,0.331210875726596,0.895,0.753,0,"0","PDK4"
0,0.8863908975462,0.983,0.841,0,"0","ABL2"
0,0.319380106397335,0.982,0.841,0,"0","MAFB"
0,1.01240106247594,0.851,0.711,0,"0","INHBA"
0,0.102507082770201,0.649,0.509,0,"0","LINC02029"
0,0.61230041995714,0.992,0.853,0,"0","CD14"
0,1.58449300709049,0.983,0.845,0,"0","CCL2"
0,0.428502384935082,0.503,0.366,0,"0","AL590705.1"
0,0.806824100200353,0.98,0.843,0,"0","KLF2"
0,0.182329938787488,0.981,0.844,0,"0","HSPA8"
0,0.106416128901575,0.973,0.838,0,"0","EGR1"
0,0.804486626101823,0.944,0.809,0,"0","IL1RN"
0,0.54394358144409,0.983,0.851,0,"0","PLEK"
0,0.17188669926349,0.977,0.845,0,"0","BCL2A1"
0,1.13859577086369,0.913,0.782,0,"0","CCL5"
0,0.987782060785114,0.991,0.86,0,"0","RHOB"
0,1.04782648491181,0.818,0.687,0,"0","TNFSF9"
0,0.46926412617476,0.647,0.517,0,"0","RAMP1"
0,0.994008646195523,0.861,0.731,0,"0","NPHS1"
0,1.40870953381508,0.356,0.228,0,"0","AC010319.3"
0,0.380679357183324,0.941,0.814,0,"0","ANKH"
0,0.948031426302917,0.972,0.846,0,"0","SERPINE1"
0,0.222081259616793,0.687,0.561,0,"0","TAF9"
0,0.594633934180027,0.856,0.731,0,"0","CHRNA1"
0,0.285276478540999,0.872,0.748,0,"0","EMP2"
0,0.226529602822756,0.99,0.866,0,"0","JUNB"
0,0.338029552586948,0.833,0.71,0,"0","TWISTNB"
0,1.07970744597186,0.884,0.761,0,"0","RAB7B"
0,0.615424791770945,0.838,0.716,0,"0","TMEM88"
0,0.350786315275077,0.955,0.834,0,"0","CD9"
0,0.322798189846675,0.65,0.529,0,"0","AL118516.1"
0,0.2200202615858,0.497,0.378,0,"0","KCTD16"
0,0.48623422363361,0.942,0.824,0,"0","RASGRP3"
0,0.393278289876096,0.803,0.686,0,"0","CKS2"
0,0.521867980493639,0.667,0.55,0,"0","BAMBI"
0,0.273839593668908,0.867,0.751,0,"0","ZNF331"
0,0.307085492501053,0.976,0.861,0,"0","ATP1B3"
0,0.537659674538794,0.995,0.88,0,"0","ZFP36"
0,0.438078524658208,0.523,0.409,0,"0","CLDN1"
0,0.219737250800451,0.917,0.804,0,"0","KLF4"
0,1.02281415042284,0.921,0.811,0,"0","MIR155HG"
0,0.378880557779641,0.894,0.785,0,"0","PTPRG"
0,0.909201276843166,0.979,0.872,0,"0","PRDM1"
0,0.20048330746313,0.886,0.78,0,"0","TIPARP"
0,0.270439093217253,0.885,0.78,0,"0","PIM3"
0,0.496934102092891,0.952,0.849,0,"0","ATF3"
0,0.802727962071982,0.846,0.744,0,"0","SYNPO2"
0,0.169953758909542,0.718,0.616,0,"0","RDH10"
0,0.160665301944539,0.828,0.726,0,"0","NAF1"
0,0.659415768484644,0.49,0.389,0,"0","XIRP1"
0,0.456297603339254,0.734,0.634,0,"0","GPR84"
0,0.191193634275177,0.803,0.704,0,"0","ATF5"
0,0.733511277863986,0.558,0.459,0,"0","ZNF577"
0,0.400842692366219,0.957,0.86,0,"0","CLEC5A"
0,1.37841943590729,0.945,0.849,0,"0","IL6"
0,0.786582187224401,0.411,0.316,0,"0","CCK"
0,0.231984125457386,0.884,0.789,0,"0","CYP19A1"
0,0.267688841930704,0.56,0.466,0,"0","LILRA4"
0,0.427179038991883,0.977,0.885,0,"0","TUBB4B"
0,0.661167446562484,0.996,0.907,0,"0","GADD45B"
0,0.656491927843082,0.869,0.78,0,"0","KANK1"
0,0.561782999259477,0.995,0.906,0,"0","SGK1"
0,0.440390667417305,0.879,0.791,0,"0","BIRC3"
0,0.907747877787132,0.874,0.786,0,"0","CCR7"
0,0.247969626187069,0.864,0.776,0,"0","MELTF"
0,0.604167894326519,0.929,0.842,0,"0","DUSP2"
0,0.628069721111142,0.64,0.554,0,"0","FZD1"
0,1.02281681808144,0.859,0.773,0,"0","CSF2"
0,0.812924434378101,0.916,0.833,0,"0","GEM"
0,0.333597450159592,0.72,0.637,0,"0","IL10"
0,0.248850116522821,0.953,0.871,0,"0","LUCAT1"
0,0.432004601847035,0.903,0.823,0,"0","DUSP4"
0,0.106550751804034,0.33,0.252,0,"0","AL031283.2"
0,0.174751390174074,0.997,0.921,0,"0","UBC"
0,0.48657046878185,0.795,0.721,0,"0","RRAD"
0,0.757655073701412,0.513,0.439,0,"0","KCNA1"
0,0.386541751056066,0.987,0.913,0,"0","TNFAIP3"
0,0.426740653291636,0.866,0.792,0,"0","LIF"
0,0.678347439067262,0.98,0.909,0,"0","RGCC"
0,0.304348599651556,0.998,0.942,0,"0","IER3"
0,0.661503580392644,1,0.949,0,"0","APOC1"
0,0.182985435918449,0.968,0.917,0,"0","PHLDA1"
0,0.155384712583562,0.998,0.957,0,"0","SOD2"
0,0.216693231724189,0.999,0.96,0,"0","FOS"
0,0.54464717240716,0.984,0.948,0,"0","G0S2"
0,1.19252075944047,0.999,0.966,0,"0","IL1B"
0,1.54877084421549,1,0.972,0,"0","CCL3L1"
0,0.369673001248928,0.999,0.979,0,"0","NFKBIA"
0,0.554531062740182,1,0.983,0,"0","APOE"
0,1.41883049947878,1,0.988,0,"0","CCL3"
0,1.4603675513257,1,0.989,0,"0","CCL4"
0,1.57783849187989,1,0.992,0,"0","CCL4L2"
0,0.461010255003097,1,0.999,0,"0","SPP1"
4.16770660781836e-304,0.600385394898406,0.613,0.535,8.33541321563673e-301,"0","NPW"
1.85701311582251e-301,0.110609627646155,0.518,0.363,3.71402623164501e-298,"0","ALOX15B"
9.06072219404646e-299,0.89146358751508,0.378,0.309,1.81214443880929e-295,"0","AC126175.1"
6.84745407451462e-295,0.151343009044755,0.334,0.234,1.36949081490292e-291,"0","LINC01436"
2.33983704128073e-285,0.13886739190823,0.56,0.469,4.67967408256146e-282,"0","EFNB2"
7.58549761387721e-269,1.20361818568242,0.509,0.396,1.51709952277544e-265,"0","FFAR3"
2.28590532770009e-265,0.105762962599698,0.578,0.481,4.57181065540018e-262,"0","NET1"
1.9245584103177e-253,0.527475431199128,0.565,0.503,3.84911682063539e-250,"0","ZDBF2"
7.27497702460652e-253,0.414621280355,0.589,0.511,1.4549954049213e-249,"0","HIST1H2AE"
7.36803014086238e-243,0.55842442477679,0.426,0.344,1.47360602817248e-239,"0","FP700111.1"
8.19926355617837e-225,0.832409315769956,0.381,0.371,1.63985271123567e-221,"0","IFNB1"
1.80311655637198e-222,0.20462740850635,0.502,0.405,3.60623311274395e-219,"0","NUAK1"
5.45747404218505e-221,0.458074606215524,0.413,0.34,1.09149480843701e-217,"0","ENPP1"
6.77738264947684e-219,0.112483198625636,0.527,0.397,1.35547652989537e-215,"0","ZNF503"
4.1329075764649e-218,8.50184748154472,0.262,0.178,8.2658151529298e-215,"0","SYT4"
2.0731143521428e-216,0.186257147699295,0.653,0.623,4.14622870428559e-213,"0","IL4I1"
4.33475565171584e-214,0.151420880135838,0.504,0.357,8.66951130343169e-211,"0","CITED4"
4.38504114229468e-210,1.00461444806334,0.356,0.301,8.77008228458936e-207,"0","SAGE1"
2.01650570841873e-209,1.2305448736128,0.476,0.392,4.03301141683746e-206,"0","TNFSF18"
3.62735427898788e-203,0.102499420911625,0.991,0.921,7.25470855797575e-200,"0","JUN"
7.33352652431999e-203,0.245159332943132,0.579,0.515,1.466705304864e-199,"0","CXCL10"
2.70416389863313e-199,0.724012583902156,0.542,0.498,5.40832779726627e-196,"0","NRARP"
2.54118348646283e-197,0.216342174863839,0.459,0.382,5.08236697292567e-194,"0","BCO2"
9.13102807680595e-194,0.189782199705172,0.463,0.355,1.82620561536119e-190,"0","GCNT2"
1.38581884359042e-193,0.543667030502747,0.609,0.611,2.77163768718084e-190,"0","TNIP3"
1.83817810939799e-193,0.257167101989245,0.296,0.299,3.67635621879598e-190,"0","AL451042.2"
